1000 2000
847 915 7
424 536 4
641 881 5
500 795 10
476 412 9
708 40 6
53 240 6
502 345 3
599 428 8
587 563 5
291 140 5
903 414 6
847 146 7
988 286 5
277 169 8
103 480 5
244 443 10
91 954 7
311 830 3
73 846 9
636 765 6
420 341 9
475 35 3
885 660 3
746 758 8
895 490 7
782 125 1
153 467 6
16 362 1
491 453 6
28 635 4
892 800 8
431 132 3
333 781 5
582 182 2
195 47 10
546 18 9
962 550 4
828 372 9
82 165 8
395 41 4
602 7 8
39 831 3
576 277 2
945 922 4
442 302 7
811 953 1
464 21 8
30 703 4
562 18 8
499 269 1
838 152 3
940 188 2
671 116 1
239 968 9
223 504 2
46 810 4
174 635 8
585 536 1
893 858 2
571 92 4
674 397 2
706 547 8
312 19 3
455 782 1
839 787 3
318 229 8
968 594 5
733 23 3
849 982 1
856 462 4
455 411 3
29 852 8
508 959 8
353 389 1
908 665 1
785 897 5
50 520 8
321 541 7
276 840 10
994 375 1
776 812 6
583 595 1
365 867 1
238 478 9
340 662 1
323 932 10
855 865 6
806 381 8
352 453 6
649 835 7
989 999 7
765 450 8
851 816 2
715 178 8
9 607 4
364 827 6
620 132 9
53 333 4
992 912 1
134 138 2
987 147 1
119 209 8
480 732 5
335 907 5
262 393 6
624 221 7
706 446 2
626 623 6
664 230 6
501 443 3
801 643 9
935 611 4
918 409 8
133 95 2
511 442 9
426 548 6
124 523 5
213 177 9
811 313 8
295 50 9
7 51 6
555 253 2
109 219 2
27 411 3
126 775 6
362 238 3
71 951 2
74 146 4
29 603 8
270 540 8
593 610 2
74 556 8
932 153 1
136 694 2
665 379 6
768 590 8
770 798 6
684 67 4
571 141 6
868 594 10
685 108 8
131 454 2
924 792 8
709 930 3
424 918 10
316 974 10
281 151 8
179 506 2
402 335 7
134 397 9
769 346 6
961 866 1
623 670 2
889 668 4
90 589 2
568 555 2
134 748 9
51 510 4
952 366 8
68 950 9
26 68 1
5 874 3
206 867 7
390 510 6
288 38 6
914 810 10
77 301 4
600 603 6
340 373 9
976 362 10
267 99 2
979 257 3
276 423 2
702 213 9
824 991 8
900 416 3
313 241 1
516 587 4
575 543 6
321 128 4
902 212 7
297 440 5
640 226 8
872 255 9
533 865 4
645 16 3
429 952 6
772 765 5
239 770 3
705 217 2
448 159 3
628 661 2
473 479 7
191 486 4
130 510 1
69 639 9
975 18 5
907 950 5
101 434 6
514 4 10
341 722 7
458 419 8
597 156 3
950 28 3
776 1 4
678 62 4
995 495 10
957 797 9
267 338 2
835 356 2
701 395 2
767 131 6
213 27 2
221 618 2
973 327 10
605 867 9
985 789 5
509 46 8
779 633 9
348 155 2
832 925 10
968 313 10
462 847 3
193 710 9
769 922 7
945 12 2
460 252 4
163 304 10
561 603 10
10 704 1
99 245 8
664 288 1
479 98 2
539 89 2
909 390 1
224 208 3
846 427 10
896 634 9
865 833 3
890 977 9
678 235 8
82 748 2
951 734 7
607 897 5
36 660 10
492 293 4
737 975 2
226 945 7
32 863 1
801 644 1
645 179 8
932 646 1
453 24 2
956 113 8
476 165 6
744 574 2
545 665 4
151 143 8
780 878 9
450 196 10
854 660 8
668 401 2
233 722 10
21 609 7
129 213 1
643 64 1
241 556 9
170 923 4
718 620 4
514 454 10
12 592 2
565 630 1
65 854 1
111 482 9
906 111 8
195 347 4
905 349 10
371 607 8
619 945 9
564 49 5
803 259 4
485 880 9
20 185 8
66 548 5
250 106 9
876 621 9
144 607 2
126 684 4
712 144 5
917 410 10
576 16 8
638 735 4
385 172 6
432 143 3
348 87 1
974 604 4
463 261 6
108 594 4
140 762 2
253 319 1
464 605 2
82 446 9
204 776 9
15 4 2
844 981 8
185 169 10
162 605 9
212 949 9
526 622 7
74 909 10
374 985 7
27 951 1
34 328 5
580 933 7
516 967 6
197 722 5
821 638 10
13 976 7
934 914 10
791 627 3
672 734 7
166 830 2
283 499 10
528 463 2
852 552 4
468 746 10
345 609 1
634 201 8
481 627 8
129 255 8
684 701 5
928 19 10
655 410 7
139 220 1
104 271 1
326 501 2
615 838 6
482 961 8
228 836 1
244 901 6
870 900 10
588 160 10
150 466 1
115 288 8
62 983 1
968 846 3
389 198 9
994 612 2
27 239 10
634 440 10
579 736 10
147 687 5
27 847 1
684 189 4
3 543 5
313 506 6
252 669 10
181 955 10
704 825 4
379 284 5
48 582 7
171 361 10
270 165 3
501 961 9
584 756 2
327 594 6
276 477 10
878 310 7
235 141 9
44 360 8
111 828 5
669 687 5
977 723 1
100 923 4
523 452 4
712 61 8
335 770 9
494 610 5
556 526 4
443 511 8
601 613 3
278 643 8
810 711 10
671 789 7
377 642 10
73 53 3
465 147 1
97 207 8
298 874 7
22 725 1
181 54 5
884 532 4
103 579 10
959 262 3
602 139 6
427 458 10
844 125 3
529 382 6
929 703 4
398 607 1
740 446 2
832 592 8
363 261 6
50 630 8
552 868 7
372 930 8
98 853 4
845 782 1
530 453 8
270 446 7
28 814 9
648 805 6
637 546 1
775 838 6
918 399 10
62 974 1
676 335 10
767 340 2
103 525 2
402 66 7
913 234 1
317 670 3
230 448 2
991 271 8
24 449 9
91 288 6
58 340 1
722 2 5
809 85 1
423 241 10
617 64 3
807 809 5
533 840 4
762 333 6
120 736 3
278 30 8
165 333 1
768 842 9
637 459 4
218 811 9
183 156 10
511 730 1
744 807 1
832 646 10
372 870 10
612 173 6
692 34 5
20 873 8
304 769 7
284 754 2
103 347 7
929 358 7
203 582 8
30 886 5
552 578 10
108 926 4
17 736 6
484 464 2
439 469 8
115 627 4
469 964 5
115 395 8
985 656 5
711 695 5
615 431 9
252 302 10
759 988 5
663 523 2
872 463 10
542 76 3
149 880 7
154 692 10
660 28 3
985 597 6
904 124 7
659 36 3
207 683 1
68 174 7
879 785 7
31 150 3
747 369 3
695 290 10
257 286 5
253 538 5
448 245 7
552 615 5
863 801 4
880 368 6
16 945 4
176 123 4
822 729 9
623 790 9
581 257 6
764 230 5
500 315 1
700 277 3
921 13 1
416 332 3
194 830 6
106 922 7
131 126 5
423 971 1
455 131 6
309 860 4
116 877 7
962 859 8
305 888 2
763 291 5
401 831 5
392 838 2
178 871 7
887 926 9
50 576 4
749 534 2
599 369 2
859 259 9
472 766 4
695 985 7
920 63 4
638 574 6
551 587 1
444 183 3
744 178 6
783 890 7
667 889 7
985 255 3
50 8 4
716 885 1
485 201 10
725 916 8
364 622 7
339 554 10
988 458 1
700 817 1
630 25 5
290 40 7
571 377 3
148 93 9
987 680 8
76 514 4
202 212 3
648 126 7
253 621 7
970 488 1
472 183 6
989 790 3
687 729 9
620 645 3
765 402 4
559 369 7
231 825 4
165 112 6
95 220 9
445 636 9
46 147 7
198 914 1
771 323 4
303 177 3
310 885 2
445 722 8
586 225 1
839 687 2
508 293 6
854 164 9
89 427 2
765 904 1
384 203 5
893 998 9
334 215 4
214 357 8
152 375 4
703 409 5
967 880 6
445 535 5
424 59 8
27 211 2
894 679 1
73 787 9
62 104 9
142 394 1
589 122 3
627 60 6
222 847 3
485 696 8
429 87 8
434 773 8
509 605 9
667 908 4
721 80 2
850 838 9
637 525 6
93 246 5
766 779 4
283 333 10
515 408 6
195 603 10
373 395 9
921 39 5
915 354 7
264 154 10
581 194 5
27 55 2
440 113 6
635 189 7
378 411 3
690 355 7
695 72 6
180 318 6
253 675 9
637 161 9
405 514 1
240 716 7
477 764 5
390 32 6
986 731 3
700 719 4
31 16 8
941 814 3
169 314 7
48 173 2
855 450 7
269 405 9
383 470 7
90 204 5
197 355 9
568 130 1
958 87 9
592 224 3
844 66 9
434 994 5
61 580 2
186 504 1
561 966 5
154 803 2
698 674 8
29 330 1
425 449 5
518 610 2
374 288 3
71 394 7
528 56 4
324 527 9
793 954 10
477 836 5
181 411 10
302 505 4
14 7 5
782 407 1
126 397 6
625 673 10
163 988 9
315 507 8
522 648 1
651 965 3
897 988 9
103 540 8
323 274 10
96 961 4
914 414 2
165 886 8
124 208 4
712 651 8
340 887 3
296 264 8
697 417 5
176 274 5
534 985 8
466 105 6
176 984 10
1 68 6
99 410 10
627 529 9
47 141 10
685 569 4
664 745 10
301 495 2
469 106 2
707 533 3
231 547 6
482 78 2
918 251 9
670 111 8
132 24 3
334 482 8
950 749 4
618 95 8
694 676 8
54 814 8
828 90 9
141 494 3
356 960 9
232 723 3
843 307 7
748 419 5
218 638 5
56 364 7
111 764 3
727 959 1
814 461 9
765 361 5
144 298 5
13 865 4
115 378 7
935 850 5
570 614 10
305 642 6
164 751 7
446 680 7
663 569 6
777 87 3
339 287 1
730 438 5
701 605 7
454 196 1
350 439 3
866 920 9
600 818 5
226 344 8
382 619 7
922 405 8
236 812 1
577 803 7
34 425 10
572 367 1
833 799 1
969 614 4
983 803 10
145 61 3
659 452 3
942 440 2
662 189 3
640 591 6
924 735 10
953 232 5
538 792 6
200 553 3
829 713 5
28 523 8
805 592 5
261 611 7
438 182 4
143 871 1
894 441 9
36 293 6
890 894 4
853 180 4
578 559 3
708 736 7
206 921 1
469 147 3
342 746 1
401 747 3
446 60 6
350 895 4
315 440 5
726 737 7
793 452 6
698 492 7
365 783 1
917 386 6
779 798 10
291 981 6
217 49 2
94 318 3
272 128 6
421 145 1
571 612 10
295 449 3
759 151 6
177 454 1
108 987 6
756 956 3
14 346 8
980 905 5
930 945 7
894 595 9
150 467 5
908 312 2
190 890 1
971 323 5
778 654 10
408 552 2
427 91 2
803 54 5
528 63 7
568 872 6
523 467 8
240 258 1
851 616 10
255 689 1
915 612 6
231 446 4
895 605 4
740 183 1
97 76 3
9 421 3
942 602 7
667 448 1
798 175 8
283 585 10
682 172 3
129 757 10
462 221 7
537 715 6
936 773 5
934 196 2
892 603 10
690 548 6
677 623 4
900 445 5
243 778 8
946 864 2
868 522 2
914 325 9
812 24 4
970 169 6
454 560 3
620 206 6
278 255 7
766 18 6
306 445 8
554 150 7
830 284 10
965 151 3
771 401 9
311 696 1
565 196 8
467 924 3
515 984 6
521 358 9
861 785 3
156 65 8
56 292 10
462 259 9
709 301 5
512 950 8
270 875 8
869 51 2
210 600 5
818 321 1
461 749 1
444 87 4
503 806 4
485 671 7
877 341 9
335 542 10
698 530 7
543 918 7
877 702 5
743 91 6
695 524 4
718 517 5
852 652 1
392 829 7
388 420 1
59 975 9
15 499 9
152 322 3
123 859 7
963 971 2
409 435 7
789 115 3
753 388 5
688 522 6
437 151 7
879 353 9
899 477 7
879 870 4
774 128 9
954 417 9
634 422 8
577 211 2
314 503 5
828 19 8
129 963 6
524 294 8
932 361 10
699 981 9
69 334 10
440 506 1
489 941 10
628 667 6
535 869 3
262 798 3
750 952 10
613 500 9
618 952 9
20 805 10
12 151 6
995 788 3
613 178 3
440 220 1
15 557 6
338 26 10
815 726 6
732 445 9
304 192 9
54 116 4
778 270 2
967 185 4
224 160 5
753 458 2
95 340 5
989 109 1
929 101 1
38 811 5
524 567 8
419 775 4
583 229 9
369 542 7
801 715 1
56 676 3
481 805 4
106 3 6
23 941 8
6 714 10
73 809 2
843 79 9
240 563 4
792 745 6
940 660 6
960 853 7
287 518 4
192 761 2
927 727 6
197 497 7
34 963 3
404 908 5
704 957 5
193 640 7
880 491 10
22 978 2
47 121 10
69 3 4
350 912 6
210 375 10
172 263 6
407 520 9
814 704 9
959 141 1
996 750 6
383 746 5
675 693 6
624 848 7
680 917 7
33 288 4
20 666 4
607 203 5
279 492 3
872 542 3
781 888 4
745 735 6
890 334 10
305 107 10
388 839 10
511 399 3
455 10 8
203 103 2
891 107 7
493 280 3
812 647 4
835 726 6
414 291 7
750 66 9
181 233 1
306 41 8
976 41 8
892 144 10
325 393 6
63 902 2
915 884 1
431 60 3
858 421 5
246 844 7
809 401 7
313 360 5
598 510 2
666 811 4
636 731 9
429 275 6
70 1 1
988 236 5
982 189 8
629 864 10
794 208 6
672 68 10
604 485 5
208 670 9
484 993 2
391 833 8
40 917 5
296 359 4
687 318 4
300 738 10
205 405 2
461 771 3
717 108 9
894 194 8
405 223 2
244 962 5
997 643 3
802 374 9
281 752 7
121 217 9
606 294 10
78 496 9
814 93 4
985 650 5
407 143 4
922 771 7
235 387 3
108 340 3
313 246 2
561 582 10
386 594 3
580 501 8
541 996 1
431 712 1
966 567 7
718 924 2
622 293 10
367 65 5
27 861 8
845 467 4
41 661 4
557 153 2
698 183 10
930 838 9
701 61 5
714 4 3
822 41 5
781 161 10
277 642 4
306 118 2
14 791 4
248 916 6
554 990 6
53 839 9
39 322 2
781 434 4
855 918 4
19 197 2
587 510 4
461 883 3
956 840 1
842 402 2
229 726 7
838 139 4
4 731 2
245 267 2
25 80 2
234 711 9
252 279 3
958 470 3
978 514 2
903 305 8
553 953 7
399 616 2
108 778 3
412 588 7
683 246 2
875 2 9
291 660 10
682 520 9
919 722 2
386 749 4
142 711 1
792 962 6
969 775 3
102 450 2
41 520 3
1 761 2
558 965 7
248 379 7
903 336 2
227 426 5
986 381 5
832 930 7
317 345 3
43 555 2
603 24 4
515 365 3
900 755 10
620 724 1
501 546 10
426 959 4
776 675 5
898 832 3
84 436 10
36 548 4
945 563 2
390 341 4
780 650 9
156 796 4
542 552 9
286 749 10
492 549 9
543 581 8
981 535 4
133 632 1
216 374 9
723 238 3
217 234 7
894 391 1
132 359 2
302 796 9
846 951 3
283 727 2
329 985 6
285 578 2
711 395 7
457 208 9
973 764 1
54 90 6
853 164 1
259 472 4
756 751 5
932 816 3
904 415 10
976 84 7
725 72 10
534 849 2
931 545 4
57 494 6
477 971 8
32 979 6
507 451 3
102 20 5
847 683 10
108 130 6
550 180 6
751 669 4
298 184 1
752 979 5
589 392 5
404 15 2
542 353 3
948 527 2
466 583 3
61 446 8
191 447 7
385 276 3
910 439 3
942 891 10
657 755 3
574 474 10
903 555 5
516 220 10
906 140 2
838 373 5
461 303 9
945 211 5
671 683 2
538 2 8
132 154 4
848 252 6
268 905 6
401 34 6
731 81 7
553 887 1
521 175 1
283 301 4
424 799 2
726 176 3
11 65 4
490 756 2
971 459 1
831 796 10
480 412 5
385 219 2
307 554 7
301 231 4
795 905 7
110 751 9
408 280 10
429 657 8
71 665 4
398 91 8
948 744 8
443 789 8
464 63 7
960 653 1
866 923 3
432 733 7
392 489 8
195 760 6
964 617 6
329 299 4
136 410 1
403 226 8
680 879 2
656 312 2
165 931 10
260 776 1
619 996 9
222 579 8
270 501 8
580 312 1
799 912 3
135 911 4
705 257 10
944 784 3
419 527 10
113 231 8
544 852 8
346 812 4
171 440 1
229 338 7
411 433 1
54 996 6
145 301 8
809 451 10
625 755 6
435 575 7
377 590 1
541 313 3
667 835 4
47 714 9
304 68 4
12 513 8
464 891 4
974 111 1
363 728 9
378 38 1
546 954 2
425 204 7
593 986 9
22 111 1
846 408 3
290 388 8
170 747 7
708 652 9
593 457 5
47 502 1
563 823 2
882 173 1
924 645 6
973 14 9
204 347 5
68 125 5
67 593 8
48 931 4
598 217 1
553 428 2
280 307 7
208 671 4
905 561 2
740 338 3
241 599 3
912 141 3
222 336 5
631 666 2
995 504 3
482 434 7
917 454 1
316 414 7
650 973 10
357 259 4
431 414 9
622 89 8
628 567 2
208 163 10
810 900 9
306 574 10
715 869 9
317 17 2
113 832 5
145 700 10
770 306 7
130 793 8
844 603 3
591 553 6
166 974 6
163 827 9
694 897 3
953 813 5
757 311 3
613 332 1
624 453 5
118 744 8
877 174 5
415 223 10
309 204 9
130 72 8
385 410 4
439 458 5
390 889 10
421 739 1
502 112 4
135 912 8
348 568 7
59 296 1
90 865 6
523 677 4
357 759 2
739 988 10
406 312 1
94 932 1
116 820 9
372 625 6
826 908 5
869 379 9
332 588 6
908 898 2
703 708 3
372 204 6
885 392 9
680 826 5
952 269 5
761 136 6
85 95 8
917 376 7
312 217 4
899 929 10
234 642 5
974 691 7
893 716 2
326 933 9
50 197 3
210 400 10
406 257 5
835 266 3
738 422 7
236 412 4
648 545 1
132 218 8
944 479 8
848 332 1
805 938 9
635 998 3
951 400 7
161 605 10
707 912 2
497 403 3
164 737 1
236 681 1
434 132 8
320 275 4
523 661 6
167 41 10
804 38 8
183 416 1
811 201 1
541 808 4
451 320 2
463 288 2
543 245 10
764 828 9
656 384 1
743 367 2
13 524 5
462 400 10
658 177 8
47 870 2
538 227 10
895 762 3
295 350 10
735 311 4
455 956 2
134 55 6
808 589 2
676 843 7
406 782 8
110 180 7
12 521 10
936 332 9
5 50 8
898 42 6
520 385 5
850 779 1
619 74 5
562 257 7
258 721 10
836 906 10
524 340 10
973 833 6
721 495 7
167 779 3
350 537 3
148 732 1
212 411 4
126 154 3
260 383 8
501 425 1
793 171 8
290 938 7
510 302 6
605 720 4
654 688 7
469 461 10
225 849 1
680 812 4
387 341 4
931 163 6
315 695 4
422 335 10
665 216 3
183 567 8
859 482 3
865 58 6
693 706 2
10 887 4
525 968 9
724 82 2
190 283 7
445 424 8
197 247 6
697 228 3
120 559 7
373 317 6
346 137 9
707 815 9
781 646 1
504 449 1
279 98 5
284 702 4
547 522 10
634 122 7
679 314 3
18 789 9
877 484 5
961 208 7
420 556 3
500 871 6
673 824 2
837 867 10
424 921 5
991 431 5
450 593 10
230 901 8
724 939 1
507 568 5
69 245 9
972 402 7
147 450 7
998 648 2
648 57 2
718 9 9
266 822 8
913 774 1
161 13 5
223 45 6
140 834 9
803 27 9
906 515 10
243 575 9
132 682 1
942 481 6
539 769 2
938 242 1
463 201 9
417 346 6
914 832 10
214 851 10
909 145 7
421 97 4
324 935 1
392 711 3
881 435 1
175 685 8
743 926 5
11 207 10
572 107 9
812 231 9
70 680 9
131 303 7
194 158 8
627 491 6
759 653 5
703 893 5
897 35 10
194 584 9
727 77 1
147 439 7
613 337 4
686 110 1
755 219 4
195 466 6
237 986 3
812 651 5
881 316 8
749 927 2
46 317 6
505 218 9
579 139 10
751 62 1
29 699 2
979 855 1
658 374 7
44 455 4
362 967 10
320 589 6
908 848 6
754 932 1
989 513 4
764 916 6
65 497 4
494 21 9
986 404 10
417 659 5
299 591 2
370 925 6
443 779 5
655 785 8
323 843 9
15 71 7
902 47 4
674 95 3
254 783 5
31 49 9
871 611 5
669 261 6
97 688 8
146 628 7
179 684 1
358 660 1
965 189 3
610 653 6
120 342 3
913 673 2
945 457 4
638 31 8
143 243 2
740 102 10
495 886 10
760 460 8
233 112 5
694 291 9
986 216 6
823 102 8
845 908 9
295 955 7
365 607 3
165 187 10
293 777 3
435 497 8
144 25 3
238 184 8
201 26 8
35 278 3
572 204 10
768 821 3
185 32 9
768 899 7
179 833 5
760 43 8
116 203 5
341 235 10
127 158 8
462 18 10
21 461 9
14 443 6
876 578 2
879 894 1
138 694 10
889 499 2
764 31 9
512 217 2
249 970 1
639 600 5
167 939 7
700 789 9
581 564 2
60 119 7
162 922 8
734 421 6
174 275 6
731 379 9
261 426 7
614 538 6
796 777 2
655 128 4
776 507 9
9 294 3
77 148 4
775 250 7
434 829 3
826 732 10
47 80 2
720 869 2
850 373 5
769 749 10
784 146 10
618 658 2
708 135 5
56 857 2
861 118 2
569 208 4
175 129 1
219 6 8
148 503 6
1 567 3
706 550 6
633 563 3
439 418 4
398 854 9
316 279 10
374 327 7
834 499 3
246 295 6
475 801 2
881 913 4
676 714 9
229 564 8
987 825 10
131 881 5
606 411 3
99 721 1
830 33 4
438 588 5
804 633 4
409 310 10
414 811 4
728 199 3
329 972 9
259 903 9
843 364 8
277 652 7
142 977 3
554 372 1
849 539 4
507 731 1
715 171 1
326 101 9
442 176 9
650 222 7
804 488 1
708 916 8
145 347 6
70 304 10
846 972 9
780 619 6
811 122 3
713 826 4
309 912 4
874 6 8
255 374 9
817 173 1
24 703 5
997 893 6
276 845 5
580 904 6
82 926 5
396 991 6
675 774 3
411 59 1
217 428 2
638 213 1
892 771 10
239 692 3
712 460 10
982 591 4
740 291 5
507 552 6
991 730 9
391 5 2
954 416 6
504 424 10
650 831 9
38 380 5
578 163 2
704 956 7
317 512 5
550 632 9
403 336 2
470 778 7
6 531 5
803 333 7
928 435 5
775 688 3
695 116 5
133 903 9
154 997 8
666 493 8
294 50 9
769 916 9
739 528 2
490 856 9
742 244 8
498 433 4
814 917 10
462 393 2
687 766 7
243 120 4
267 531 9
585 381 10
729 237 6
296 533 2
65 271 9
248 615 6
332 312 5
697 551 2
812 745 8
436 801 7
66 335 6
189 23 9
832 690 9
794 824 2
138 736 4
960 468 3
853 896 4
894 253 10
458 182 3
970 537 1
145 26 10
896 969 7
535 208 5
55 16 2
947 36 8
81 723 10
250 197 7
518 452 8
921 711 10
248 370 8
379 335 5
622 334 9
964 330 3
544 97 4
923 257 5
147 211 8
238 68 3
766 777 5
145 13 8
856 759 6
568 286 4
438 524 6
797 156 4
997 240 6
355 126 1
669 957 10
325 781 10
3 454 2
524 361 10
434 939 7
442 589 6
197 13 7
567 531 6
879 144 1
347 111 6
692 954 9
210 750 3
659 258 3
46 399 9
891 720 4
557 718 4
237 274 7
366 500 3
604 227 8
116 605 6
482 229 4
905 738 5
379 140 8
813 484 2
750 835 4
668 925 8
529 166 4
245 862 10
141 273 2
832 268 10
969 71 4
419 703 9
407 204 8
930 552 1
763 575 3
696 13 1
909 842 6
961 425 5
78 841 7
306 798 1
579 405 6
284 432 9
569 766 8
166 900 2
262 195 10
666 543 4
199 572
